Word embedding loaded in 82.642837 secs.
Similarity matrix initialized in 0.000029 secs.
Similarity matrix populated in 0.916488 secs. 
Similarity matrix initialized in 0.000017 secs.
Similarity matrix populated in 0.432097 secs. 
Similarity matrix initialized in 0.000024 secs.
Similarity matrix populated in 1.321574 secs. 
Similarity matrix initialized in 0.000056 secs.
Similarity matrix populated in 5.285374 secs. 
Similarity matrix initialized in 0.000052 secs.
Similarity matrix populated in 2.648965 secs. 
Similarity matrix initialized in 0.000056 secs.
Similarity matrix populated in 3.086501 secs. 
Similarity matrix initialized in 0.000557 secs.
Similarity matrix populated in 6.718305 secs. 
Similarity matrix initialized in 0.000148 secs.
Similarity matrix populated in 10.978188 secs. 
Similarity matrix initialized in 0.000034 secs.
Similarity matrix populated in 0.955826 secs. 
Similarity matrix initialized in 0.000013 secs.
Similarity matrix populated in 0.336732 secs. 
Similarity matrix initialized in 0.000096 secs.
Similarity matrix populated in 8.718109 secs. 
Similarity matrix initialized in 0.000297 secs.
Similarity matrix populated in 29.146715 secs. 
Similarity matrix initialized in 0.000083 secs.
Similarity matrix populated in 5.749699 secs. 
